ID_LOM;STATUT;TYPE;INTITULE;ADRESSE;QUARTIER;SITUATION;USAGER;ACCESSIBILITE;OUVERTURE;LIEN_PHOTO;REMARQUES;OBJECTID;E;N
3014;Actif;Pavillon;WC public - Plaine de Plainpalais - Jeux d'enfants;Plaine de Plainpalais;Plainpalais Jonction;A côté des jeux d'enfants;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_3014.html;;11;2499881.93;1117166.55
3015;Actif;Pavillon;WC public - Plaine de Plainpalais - 23-Cantons;Plaine de Plainpalais;Plainpalais Jonction;Face à la rue PATRU;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_3015.html;;12;2499818.16;1116963.61
8216;Actif;Edicule;WC public - Avenue De-GALLATIN;Avenue De-GALLATIN;Saint-Jean Charmilles;Derrière le marché couvert de St-Jean, sur la couverture des voies CFF;Hommes - Femmes - Handicapés;Niveau marché, de plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8216.html;;13;2498554.42;1118074.01
1006;Actif;Autonettoyant;WC public - Avenue du Mail;Avenue du Mail 10;Plainpalais Jonction;En face du n°10;Hommes - Femmes - Handicapés;WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1006.html;;14;2499744.82;1117261.24
8285;Actif;Edicule enterré;WC public - Baby plage;Quai Gustave-ADOR;Eaux-Vives Cité;Le long de la plage;Hommes - Femmes;En sous-sol;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8285.html;;15;2501541.76;1118259.18
8252;Actif;Edicule;"WC public - Bois de la Bâtie - ""Le Chalet""";Chemin de la Bâtie 20;Acacias Bâtie;"Près du restaurant ""Le Chalet""";Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8252.html;;16;2498639.77;1117219.13
8282;Actif;Bâtiment;WC public - Bois de la Bâtie - Jardins familiaux;Chemin de la Bâtie 30;Acacias Bâtie;Dans l'annexe du restaurant de la Tour;Hommes - Femmes;Au rez avec marches;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8282.html;;17;2498372.68;1117305.53
8291;Actif;Edicule;WC public - Bois de la Bâtie - Jeux d'eau;Chemin de la Bâtie 2;Acacias Bâtie;A proximité des jeux d'eau;Hommes - Femmes - Handicapés;De plain-pied;de mai à septembre;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8291.html;;18;2498502.53;1116996.31
8215;Actif;Edicule;WC public - Rue de Saint-Jean;Rue de Saint-Jean 4;Saint-Jean Charmilles;A côté du n°4, à l'arrière du kiosque abribus;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8215.html;;19;2498641.24;1117819.69
1003;Actif;Autonettoyant;WC public - Jardin Botanique - Terres de Pregny;Chemin de l'Impératrice;Pâquis Sécheron;Aire de pique-nique;Hommes - Femmes;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1003.html;;20;2500333.03;1120494.63
